SampleID,elevation,latitude,longitude,veg.types.short,veg.types.long,Temp,Precip,Quartz,Plagioclase,K.feldspar,Amphibole,Muscovite,Chlorite,Mineral.pc1,Mineral.pc2,Ca,Fe,Mg,Al,K,Na,Ba,Mn,Ti,CIA,Mg/Al,Ca/Al,Ti/Fe,Ti/Al,Metal.pc1,Metal.pc2,pH,Moisture,TOC,TN,TP,NH4-N,NO3-N,WSOC,WSON,Veg.rich,Veg.dca1,Veg.dca2,Bac.rich,Bac.dca1,Bac.dca2
MT01_01,1397,29.58066667,95.46351667,EBF,evergreen broadleaved forest ,0.983252607762963,0.843332162939545,2.10441141579062,-0.285046624543234,-0.0448225846367772,-0.563129758725384,-0.704525195009311,-0.559033810215899,-1.05987240801746,1.28686459574773,-0.863689533034913,-0.605314271148234,-0.582635192661431,-1.38364604407962,-0.514480707570666,-1.11313009559766,-0.582155958598648,-0.517499273632879,-0.996113169638115,0.970837288475714,-0.454725145865734,-0.68037418873194,-0.523435019098084,-0.691712481214102,0.686385687187892,0.56490871190404,-0.317717908382405,-0.166941655780717,-0.46120139315604,0.807073199976719,-0.130222540634145,3.48385631611294,-0.117385057395411,-0.108032708877695,0.0244464877139908,2.10862425901963,-1.81272479621038,1.12335147728113,-0.106797986420222,-0.0127983235053846,-0.445706141853341
MT01_02,1397,29.58066667,95.46351667,EBF,evergreen broadleaved forest ,0.983252607762963,0.843332162939545,-0.0161097848495236,-0.0409728421734778,1.21688334513391,-0.257202055716549,-0.634473399151352,-0.220348419832665,-0.520478866491756,0.555033068614042,-1.01523941477448,-0.678393225554674,-0.675746846860687,-1.38105123473485,-0.388426065853964,-1.16873658395944,-0.422539701861776,-0.702835264985681,-0.9886708497587,1.22233711188895,-0.57584316362798,-0.881135752539693,-0.390237622631487,-0.682363702508028,1.01192795965799,0.665613151665921,-0.403020848321746,-0.0444914734942225,-0.417020312385371,0.833399402724126,-0.150531235799154,3.37215319114793,-0.237600263763627,1.16447124338241,1.37027680502093,0.303687732956631,-2.03608309973348,1.28990535524591,-0.48149297217411,-0.199110826290114,-0.618719923261466
MT01_03,1397,29.58066667,95.46351667,EBF,evergreen broadleaved forest ,0.983252607762963,0.843332162939545,-0.930198535416733,2.20858931928769,0.220216280802272,-0.441172093336727,-1.05093517452669,-0.129589589729968,0.696749301130378,1.76932147636,-0.902300967873021,-0.499848052857123,-0.553298644078104,-0.441730251928319,0.217605865476331,-0.506754579652539,-0.262923445124903,-0.332163282280077,-0.83238213229099,1.04538153703275,-0.522381827368167,-0.905320164248141,-0.465372580699585,-0.812280694721096,1.0499480317235,0.469529709334741,-0.552300993215593,-0.362523765117488,0.157333737633327,0.145265895935836,-0.297872190885284,2.13741327217989,-0.580392139348242,0.370522654665376,0.311954142478485,-0.469856492498939,-1.90466668770187,1.19153471328151,-0.678700859412998,-0.593682507233165,-0.826214666686209
MT01_04,1397,29.58066667,95.46351667,EBF,evergreen broadleaved forest ,0.983252607762963,0.843332162939545,-0.136547154012095,0.127001890179852,1.51618579013542,-0.563129758725384,-0.784584390275549,-0.240271089855208,-0.693226392843556,0.7819812695952,-1.0191005582583,-0.358672800026502,-0.554574146190422,-0.828356844298964,-0.0458160140085704,-0.882760358098861,-0.422539701861776,-0.814036859797363,-0.586785576270302,1.30645971696838,-0.484519782234732,-0.981771961590341,-0.364699148535139,-0.362594019404779,0.83516393996028,0.862369855132049,-0.813541246779826,-0.354632844279694,0.599144545340017,0.373414181924883,-0.280730234477532,4.17209169896185,-0.60181663157228,1.49830777977716,1.09440929430268,0.0458396578047744,-2.17896407455641,1.55661092570086,-0.794560493165845,-0.617851868019073,-0.892470856632575
MT01_05,1397,29.58066667,95.46351667,EBF,evergreen broadleaved forest ,0.983252607762963,0.843332162939545,1.94588701535442,-2.18752287495388,1.19975155535268,-0.563129758725384,0.0406411609302919,-0.559033810215899,-2.13773478568588,-0.311215737223204,-1.10308042903118,-0.218327989859591,-0.452533977204937,-1.19811717592861,-0.0716733764119963,-1.29054127275191,-0.74177221533552,-0.776969661526802,-0.415612219043763,1.43148154414205,-0.312855622527982,-1.02717106978646,-0.361949605794194,0.0255946721741398,0.355113153156267,0.872537206840014,-1.06945006659785,-0.368160137144485,-1.21227976625741,0.586617638483252,-0.258198194399081,2.41366831241593,-0.603006881140283,1.05580643363791,0.780182195127179,-0.212008417347083,-1.81946594738079,1.29035080970543,-0.880838943832859,-0.636464961215656,-0.941316642982589
MT01_06,1397,29.58066667,95.46351667,EBF,evergreen broadleaved forest ,0.983252607762963,0.843332162939545,-0.829319371502785,-0.117071892189904,1.89510067000265,-0.300610716278614,-0.643710998605149,0.0364326604578914,-0.430514892889297,0.209163124618628,-1.00655184193591,-0.411821130503913,-0.58391069477375,-0.590931789252561,-0.13954895272099,-0.853633149909357,-0.422539701861776,-0.776969661526802,-0.765401253376257,1.50074167974229,-0.543110601960366,-1.00408126381934,-0.510075635878834,-0.678754037939704,0.894225327633083,1.05337606095469,-0.701581138109441,-0.348573744350673,-0.770468958550724,0.190154339852132,-0.296187101529389,2.24190974392135,-0.526830908788146,0.257674178911647,0.195807008969818,0.561535808108488,-2.06586099007983,1.41534985195647,-0.402609817278554,-0.504342041474183,-0.758665181334397
MT01_07,1397,29.58066667,95.46351667,EBF,evergreen broadleaved forest ,0.983252607762963,0.843332162939545,1.63913200671813,-1.73556876083193,1.61595327180259,-0.563129758725384,-0.422008611714027,-0.559033810215899,-1.95467873742966,0.174269895267525,-0.914849684195405,-0.586214089882915,-0.58391069477375,-1.30969397775369,-0.360952618300324,-0.999269190856877,-0.74177221533552,-0.814036859797363,-0.81749749253216,0.973321270267683,-0.466183868936584,-0.763231594167151,-0.304873039675066,-0.474037137954078,0.789124028768885,0.763713447997041,-0.786884078048782,-0.164968925571268,-0.770468958550724,1.16006301065423,-0.175208296704584,2.26713303020377,-0.597055633300272,1.99412094012511,1.4397467664591,1.33508003356406,-2.06714340224109,1.29328004384668,-0.397679620097582,-0.374009322042477,-0.783322879075121
MT01_08,1397,29.58066667,95.46351667,EBF,evergreen broadleaved forest ,0.983252607762963,0.843332162939545,-0.376392513113627,0.475943875621024,0.762387039761241,-0.563129758725384,-0.513614806297512,0.0397531054616487,-0.195699042336681,0.612744686001916,-0.961183406001134,-0.688358537519188,-0.562227158864334,-1.00999349843282,-0.19449584782827,-1.0019171188741,-0.821580343703956,-0.888171256338484,-0.899363011205723,1.21000079178184,-0.472527994078054,-0.879646094641196,-0.240573639667663,-0.701125459466781,0.93051472489843,0.970896132380752,-0.600283896931473,-0.317714607502868,-0.0635716662200186,0.639153360522798,-0.245550760329808,3.58595057011321,-0.613719127252302,1.185516826899,0.831960493294952,1.0772319584122,-1.30228719240649,0.813642354085634,0.0682240135042918,-0.322490950760038,-0.710058135863736
MT01_09,1397,29.58066667,95.46351667,EBF,evergreen broadleaved forest ,0.983252607762963,0.843332162939545,-0.250808247832996,-1.06831001739522,1.1695189851505,-0.563129758725384,0.607983727384307,-0.313320879937866,-1.28389890924538,-0.893914089313472,-0.990141982129715,-0.278119861646677,-0.398962888487557,-0.217279243605763,0.935147672171402,-0.660334404651741,-0.103307188388031,-0.369230480550638,-0.542131656993814,1.07304394296817,-0.372991696670542,-1.04062332576021,-0.426610621774214,-0.536576783274967,1.00566614772475,0.251196099228315,-0.557632426961803,-0.350969202462146,-1.47736625088143,0.214583835925163,-0.352040622168039,2.87249190098187,-0.485172173908071,0.864114752039051,0.629926636253217,0.561535808108488,-1.49981169144115,1.1047746333839,0.1199910839045,-0.284023027797044,-0.638382702430319
MT01_10,1397,29.58066667,95.46351667,EBF,evergreen broadleaved forest ,0.983252607762963,0.843332162939545,2.01794356100724,-2.00377151028007,1.32572059786173,-0.563129758725384,-0.261120421227068,-0.559033810215899,-2.06796017026777,0.0315862480897829,-0.984350266903999,-0.773063689217561,-0.696154880657784,0.0915030684218002,1.69955594822268,0.0175351677585297,0.694774095296329,-0.628700868444561,-1.137517247347,0.588447726511414,-0.725195026280858,-1.07679424244924,-0.446316479049074,-1.32740248621187,2.4568082055289,-0.312247144998878,-0.765558343063946,-0.574874081234574,-0.814650039321393,0.201390270967342,-0.381861141457434,2.00409018754423,-0.485172173908071,0.450203022150011,0.280682693465011,1.0772319584122,-1.73489446571066,1.16325181311274,-0.254703901849388,-0.526274737188694,-0.807799163521641
